Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   415	-6.97407e-06	-0.707	0.707
   416	-7.38057e-06	-0.707	0.707
   417	-6.46832e-06	-0.707	0.707
   418	-1.15033e-05	-0.707	0.707
   419	-1.02727e-05	-0.707	0.707
   420	-6.20629e-06	-0.707	0.707
   421	-6.11098e-06	-0.707	0.707
   422	-6.73772e-06	-0.707	0.707
   423	-8.1986e-06	-0.707	0.707
   424	-7.05163e-06	-0.707	0.707
   425	-8.97599e-06	-0.707	0.707
   426	-1.06037e-05	-0.707	0.707
   427	-9.51695e-06	-0.707	0.707
   428	-7.12587e-06	-0.707	0.707
   429	-7.34521e-06	-0.707	0.707
   430	-8.89656e-06	-0.707	0.707
   431	-9.52236e-06	-0.707	0.707
   432	-1.12967e-05	-0.707	0.707
   433	-8.24872e-06	-0.707	0.707
   434	-7.37595e-06	-0.707	0.707
   435	-1.04841e-05	-0.707	0.707
   436	-8.15063e-06	-0.707	0.707
   437	-9.19639e-06	-0.707	0.707
   438	-8.43391e-06	-0.707	0.707
   439	-6.09736e-06	-0.707	0.707
   440	-1.09536e-05	-0.707	0.707
   441	-8.05898e-06	-0.707	0.707
   442	-7.49415e-06	-0.707	0.707
   443	-9.02161e-06	-0.707	0.707
   444	-9.59101e-06	-0.707	0.707
   445	-1.09334e-05	-0.707	0.707
   446	-5.95408e-06	-0.707	0.707
   447	-7.09396e-06	-0.707	0.707
   448	-6.84532e-06	-0.707	0.707
   449	-9.11548e-06	-0.707	0.707
   450	-1.22679e-05	-0.707	0.707
   451	-7.09871e-06	-0.707	0.707
   452	-9.85099e-06	-0.707	0.707
   453	-1.03096e-05	-0.707	0.707
   454	-7.49984e-06	-0.707	0.707
   455	-1.03912e-05	-0.707	0.707
   456	-9.88868e-06	-0.707	0.707
   457	-9.24297e-06	-0.707	0.707
   458	-7.73939e-06	-0.707	0.707
   459	-5.20282e-06	-0.707	0.707
   460	-7.45042e-06	-0.707	0.707
   461	-1.02621e-05	-0.707	0.707
   462	-9.1904e-06	-0.707	0.707
   463	-4.97125e-06	-0.707	0.707
   464	-7.65559e-06	-0.707	0.707
   465	-7.20815e-06	-0.707	0.707
   466	-7.04958e-06	-0.707	0.707
   467	-5.84603e-06	-0.707	0.707
